run_id,case,Gamma,lambda_R,reused,timing_provenance,t_instance_load_seconds,t_reuse_validation_seconds,t_core_prb_seconds,t_exact_certification_seconds,t_post_evaluation_seconds,t_reporting_seconds,t_artifact_write_seconds,t_total_runner_wallclock_seconds
E7-210330-G2-L2000,210330,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.00215829999797279,5.306620700001076,0.0,0.0,0.0,0.0012913999962620437,0.002937799996288959,5.41314780000539
E7-210330-G4-L0025,210330,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0025965000022551976,4.782063100006781,11.198942600007285,0.7380503999957,2253.9468725000042,0.061097799996787217,0.001780000005965121,2272.6884312999973
E7-210330-G4-L0500,210330,4,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.002238199995190371,5.147331600004691,0.0,0.0,0.0,0.0015602999992552213,0.002747400001680944,5.281903600000078
E7-210330-G4-L2000,210330,4,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.000745700002880767,5.117599900004279,10.826046399997722,0.697700700002315,2257.9383802999946,0.06538149999687448,0.0035036000044783577,2276.4397487000024
E7-210323-G0-L0025,210323,0,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0022330999927362427,5.37642319999577,0.18301459999929648,0.0026923999976133928,0.00992670000414364,0.05408210000314284,0.0021040999999968335,5.783120100008091
E7-210323-G0-L0500,210323,0,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0013773999962722883,5.444542500001262,0.0,0.0,0.0,0.0014503999991575256,0.0031337000109488145,5.561576699998113
E7-210323-G0-L2000,210323,0,0.2,False,E7_FULL_STAGE_INSTRUMENTATION,0.0017231999954674393,5.451915099998587,0.07172230001015123,0.0038978999946266413,0.017823400004999712,0.08360260000335984,0.0038423000078182667,5.7692171999951825
E7-210323-G2-L0025,210323,2,0.0025,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.00222389999544248,5.596881599994958,0.0,0.0,0.0,0.0018111999961547554,0.0033417999948142096,5.704079399991315
E7-210323-G2-L0500,210323,2,0.05,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0008221000025514513,5.637394400007906,0.0,0.0,0.0,0.0021979999874019995,0.0031898000015644357,5.7478217000025325
E7-210323-G2-L2000,210323,2,0.2,True,E7_REUSE_MATERIALIZATION_ONLY_WITH_SOURCE_REPORTED_RUNTIME,0.0009156000014627352,5.611184199995478,0.0,0.0,0.0,0.0011679999879561365,0.0019457000016700476,5.703383899992332
E7-210323-G4-L0025,210323,4,0.0025,False,E7_FULL_STAGE_INSTRUMENTATION,0.0025006000068970025,5.313303599992651,13.186212800006615,0.8830855999985943,2688.771496100002,0.06542240000271704,0.0017651999951340258,2710.1718260000052
