case,gamma,beta,lambda_r,status,certified,objective,exact_objective,objective_difference,first_stage_expenditure,first_stage_difference,robust_recourse,robust_recourse_difference,y_identical,maximum_x_difference,fr_min_robust,fr_min_difference,worst_scenario,worst_region,average_fill_rate,iterations,master_solve_count,product_subproblem_evaluations,product_pattern_evaluations,unique_product_cuts,cuts_by_product,cuts_by_gamma,final_lb,final_ub,final_gap,total_runtime_seconds,master_runtime_seconds,separation_runtime_seconds,certification_runtime_seconds,global_coupling_error,exact_certification
210202,2,1.0,0.05,OPTIMAL,True,116875.34576195435,116875.3457619544,5.820766091346741e-11,84614.30513135395,0.0,32261.0406306004,7.275957614183426e-11,True,8.520828487235121e-11,0.7138743737116068,1.7574830479816228e-13,1:BAC-O-6433;12:BAC---1041,12,0.9761561978093004,11,11,288,7584,114,"[14, 21, 13, 16, 17, 11, 11, 11]","[59, 39, 16]",116875.34576195438,116875.34576195435,0.0,2.2084373999387026,0.2633094002958387,1.3094690996222198,0.10560779995284975,1.4551915228366852e-11,True
210202,2,1.0,0.2,OPTIMAL,True,117018.22060735192,117018.2206073518,1.1641532182693481e-10,84614.305131354,1.4551915228366852e-11,32403.91547599791,9.094947017729282e-11,True,3.353761712787673e-12,0.7141705058903366,3.802513859341161e-13,1:BAC-O-6433;12:BAC---1041,12,0.9761808754908614,9,9,240,6320,79,"[5, 14, 10, 10, 11, 7, 11, 11]","[37, 29, 13]",117018.22060735188,117018.22060735192,3.730679329981009e-16,1.804962099995464,0.12029289919883013,1.0394014003686607,0.10982140013948083,3.637978807091713e-12,True
210202,2,1.1,0.0,OPTIMAL,False,115770.16775308314,115770.16775308308,5.820766091346741e-11,89028.28607979638,1.3096723705530167e-10,26741.881673286753,9.094947017729282e-11,True,203.06688744493735,0.7882314575098561,1.878497357665765e-12,1:BAC-O-6433;7:BAC-O-6433,12,0.9823526214591541,34,34,840,22120,581,"[53, 62, 52, 81, 86, 70, 92, 85]","[238, 196, 147]",115770.16775308312,115770.16775308314,1.256965892923595e-16,6.744249399984255,1.8512702002190053,4.1964245000854135,0.10556289996020496,2.546585164964199e-11,True
210202,2,1.1,0.0025,OPTIMAL,True,115844.6395894824,115844.63958948234,5.820766091346741e-11,89111.68767956267,1.3096723705530167e-10,26732.951909919728,1.0186340659856796e-10,True,8.227516445913352e-10,0.7825145862540188,4.244937734654286e-12,1:BAC-O-6433;7:BAC-O-6433,12,0.9818762155211682,26,26,648,17064,376,"[44, 46, 46, 62, 61, 48, 31, 38]","[154, 131, 91]",115844.63958948237,115844.6395894824,2.5123156807141604e-16,5.100203200010583,1.2616144004277885,3.155113700311631,0.10675689997151494,1.4551915228366852e-11,True
210202,2,1.1,0.05,OPTIMAL,True,116330.02776280472,116330.02776280468,4.3655745685100555e-11,85179.63310950773,2.9103830456733704e-11,31150.394653296986,1.8189894035458565e-11,True,1.2857270803579013e-11,0.7289665801405314,6.052935930256353e-13,1:BAC-O-6433;7:BAC-O-6433,12,0.9774138816783776,13,13,336,8848,149,"[18, 24, 19, 21, 20, 16, 15, 16]","[66, 51, 32]",116330.02776280466,116330.02776280472,5.003666038157578e-16,2.554855199996382,0.36022170004434884,1.5671614001039416,0.1025048999581486,1.0913936421275139e-11,True
210202,2,1.1,0.2,OPTIMAL,True,116398.69150719143,116398.6915071914,2.9103830456733704e-11,85238.78134566481,1.4551915228366852e-11,31159.910161526608,3.637978807091713e-12,True,1.1107204045401886e-10,0.7289665801415641,6.106226635438361e-13,1:BAC-O-6433;7:BAC-O-6433,12,0.9774138816784635,12,12,312,8216,116,"[11, 19, 14, 17, 12, 14, 16, 13]","[53, 38, 25]",116398.6915071914,116398.69150719143,2.500357184422094e-16,2.2472856999374926,0.26446010009385645,1.356964199570939,0.10129530006088316,1.0913936421275139e-11,True
210628,0,0.9,0.0,OPTIMAL,True,78545.4835644509,78545.48356445097,7.275957614183426e-11,45502.3689409178,1.4551915228366852e-11,33043.1146235331,1.0186340659856796e-10,True,1.1448797465618554e-09,0.6221258121764012,3.886890809212673e-13,,12,0.9224586366084951,44,44,360,360,257,"[4, 37, 36, 36, 32, 42, 37, 33]",[257],78545.4835644509,78545.4835644509,0.0,1.7032373999245465,1.4722293997183442,0.17364070122130215,0.003094600047916174,7.275957614183426e-12,True
210628,0,0.9,0.0025,OPTIMAL,True,78671.3991464114,78671.3991464025,8.891220204532146e-09,45502.36894091773,8.89849616214633e-09,33169.030205493655,1.4551915228366852e-11,True,2.5767299405288213e-10,0.6043780183253809,1.021405182655144e-14,,12,0.9217026291298241,30,30,248,248,167,"[4, 27, 26, 26, 24, 21, 13, 26]",[167],78671.39914641141,78671.3991464114,0.0,1.4590551999863237,1.288874400081113,0.12428299942985177,0.0030982999596744776,7.275957614183426e-12,True
210628,0,0.9,0.05,OPTIMAL,True,80322.65321134166,80322.65321134121,4.511093720793724e-10,45502.3689409178,2.546585164964199e-10,34820.284270423865,1.8189894035458565e-10,True,2.417550604150165e-10,0.6094151475230369,1.6586731987899839e-13,,12,0.9234535695493794,15,15,128,128,61,"[4, 14, 7, 7, 12, 8, 4, 5]",[61],80322.65321134165,80322.65321134166,1.8116825884820378e-16,0.3499621001537889,0.2635662006214261,0.05971929966472089,0.003175700083374977,0.0,True
210628,0,0.9,0.2,OPTIMAL,True,87708.05710911915,87708.05710911946,3.055902197957039e-10,45502.36894091772,5.093170329928398e-11,42205.688168201435,3.2014213502407074e-10,True,1.3145040611561853e-12,0.5493476327964317,1.7055246104291655e-12,,12,0.9163721320551131,7,7,64,64,33,"[1, 6, 4, 4, 3, 6, 5, 4]",[33],87708.0571091192,87708.05710911915,0.0,0.13824469991959631,0.09037160011939704,0.02796330046840012,0.0033995001576840878,1.4551915228366852e-11,True
