case,gamma,beta,lambda_r,status,budget,objective,first_stage_expenditure,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,reconfiguration_cost,rs,total_a_plus,total_a_minus,positive_changed_pairs,depot_activation_changes,balance_max_error,ri_representation_error,simultaneous_positive_adjustment_pairs,objective_accounting_error
210202,2,1.0,0.005,OPTIMAL,84614.30513135393,116829.22502454335,84614.30513135395,1.0000000000000002,32214.919893189377,5773.229058202282,13,0.04597656821979013,0.045976568219790126,6.549344650368038,7.740233333123681e-05,131.17116297547713,134.41105582191378,14,0,1.4210854715202004e-14,5.684341886080802e-14,0,2.9103830456733704e-11
210202,2,1.0,0.01,OPTIMAL,84614.30513135393,116836.02286800151,84614.30513135392,0.9999999999999998,32221.717736647595,5773.184593340925,13,0.024335930540857285,0.024335930540857264,9.188795661635433,0.00010859624324008677,68.64569472817296,71.9300524359673,9,0,3.552713678800501e-14,1.1368683772161603e-13,0,0.0
210202,2,1.0,0.025,OPTIMAL,84614.30513135393,116851.29810184852,84614.30513135395,1.0000000000000002,32236.992970494557,5773.183269123004,13,0.020486137110039042,0.02048613711003902,20.388279838358404,0.00024095547208841288,57.525926508676086,60.81160843439126,8,0,7.105427357601002e-14,1.1368683772161603e-13,0,1.0913936421275139e-11
210202,2,1.0,0.05,OPTIMAL,84614.30513135393,116875.3457619544,84614.30513135395,1.0000000000000002,32261.040630600473,5773.133253665497,13,0.020913487972572833,0.020913487972572784,36.82276045566586,0.0004351836299843481,58.73520827423769,62.07090565745982,11,0,8.526512829121202e-14,2.8421709430404007e-13,0,1.4551915228366852e-11
210202,2,1.0,0.1,OPTIMAL,84614.30513135393,116920.20583738707,84614.30513135396,1.0000000000000004,32305.900706033117,5773.179572482363,13,0.018756071834540693,0.018756071834540648,61.03733724405949,0.0007213595520202651,52.52724401475359,55.81662258110984,9,0,1.2789769243681803e-13,2.7000623958883807e-13,0,1.0913936421275139e-11
210202,2,1.0,0.2,OPTIMAL,84614.30513135393,117018.2206073518,84614.30513135402,1.000000000000001,32403.91547599782,5772.62722812171,13,0.008217768808441814,0.008217768808441639,90.09001550030555,0.0010647137663123418,21.81398172092503,25.655704647934723,6,0,4.263256414560601e-13,1.0089706847793423e-12,0,3.637978807091713e-11
210202,2,1.0,0.4,OPTIMAL,84614.30513135393,117253.27153082791,84614.30513135393,1.0,32638.966399473982,5772.071366772367,13,0.007662353820235669,0.007662353820235492,146.45645171662224,0.0017308710564870268,19.93188232909375,24.3294666054461,6,0,4.263256414560601e-13,1.0231815394945443e-12,0,0.0
210202,2,1.0,0.8,OPTIMAL,84614.30513135393,117798.7871766082,84614.30513135396,1.0000000000000004,33184.48204525425,5776.468951048715,13,6.299696653980468e-15,6.064908159767951e-15,1.9936776238653976e-10,2.356194523810653e-15,1.545119587831323e-11,1.958255779754836e-11,0,0,0.0,1.3562484468820912e-12,0,1.4551915228366852e-11
210202,2,1.0,1.6,OPTIMAL,84614.30513135393,117798.78717661102,84614.3051313531,0.9999999999999902,33184.48204525789,5776.4689510485705,13,2.5723870249016668e-14,3.087461010993686e-16,7.680686046347744e-12,9.07729022229086e-17,0.0,1.7834622667578515e-12,0,0,4.462208380573429e-12,1.468096755274928e-10,0,2.1827872842550278e-11
210202,2,1.1,0.0,OPTIMAL,93075.73564448934,115770.16775308308,89028.28607979625,0.9565144499082697,26741.881673286844,6081.920140967713,12,0.6000248882835688,0.6000248882835688,0.0,0.0,1885.7381634727528,1580.2869735537586,61,3,0.0,0.0,0,1.4551915228366852e-11
210202,2,1.1,0.0025,OPTIMAL,93075.73564448934,115844.63958948234,89111.68767956254,0.957410511585234,26732.95190991983,6082.8483039707735,12,0.4201321265666941,0.4201321265666941,73.05813477335047,0.0007849321229369834,1366.6297686863165,1060.250415764262,36,3,2.9398705692074145e-13,0.0,0,3.637978807091713e-11
210202,2,1.1,0.005,OPTIMAL,93075.73564448934,115915.51093050672,89178.13868457207,0.9581244571108793,26737.372245934694,6082.777302597365,12,0.3699799920924279,0.3699799920924279,139.12904387890984,0.0014947939214826624,1221.743144189903,915.434792641257,32,3,5.684341886080802e-14,0.0,0,4.729372449219227e-11
