case,gamma,beta,lambda_r,status,objective,best_bound,mip_gap,runtime_seconds,node_count,scenario_count,variable_count,constraint_count,nonzero_count,peak_memory_gb,method,budget,activation_cost,final_inventory_cost,reconfiguration_cost,first_stage_expenditure,budget_slack,budget_utilization,robust_recourse_cost,total_inventory,active_depot_count,ri,ri_from_adjustments,rs,active_depot_changes,first_stage_accounting_error,objective_accounting_error,reconfiguration_identity_error,simultaneous_positive_adjustment_pairs,direct_robust_recourse_difference,error_message
210202,2,1.0,0.0,OPTIMAL,116815.11494450644,116815.11494450644,0.0,14.392000198364258,1.0,4657,122376,18629,376683,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80110.64389502905,0.0,84614.30513135395,-1.4551915228366852e-11,1.0000000000000002,32200.80981315251,5773.357545429824,13,0.09732384420268013,0.09732384420268013,0.0,0,2.9103830456733704e-11,2.1827872842550278e-11,0.0,0,2.546585164964199e-11,
210202,2,1.0,0.0025,OPTIMAL,116824.68044866312,116824.68044866312,0.0,12.626999855041504,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80106.49509266028,4.148802368795347,84614.30513135395,-1.4551915228366852e-11,1.0000000000000002,32210.375317309175,5773.278572910126,13,0.06347088011696297,0.06347088011696288,4.903192624881586e-05,0,0.0,7.275957614183426e-12,2.8421709430404007e-13,0,0.0,
210202,2,1.0,0.05,OPTIMAL,116875.3457619544,116875.3457619544,0.0,9.971999883651733,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80073.8211345734,36.82276045566586,84614.30513135395,-1.4551915228366852e-11,1.0000000000000002,32261.040630600473,5773.133253665497,13,0.020913487972572833,0.020913487972572784,0.0004351836299843481,0,1.4551915228366852e-11,1.4551915228366852e-11,8.526512829121202e-14,0,7.275957614183426e-12,
210202,2,1.0,0.2,OPTIMAL,117018.2206073518,117018.2206073518,0.0,7.072999954223633,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,84614.30513135393,4503.661236324868,80020.55387952882,90.09001550030555,84614.30513135402,-8.731149137020111e-11,1.000000000000001,32403.91547599782,5772.62722812171,13,0.008217768808441814,0.008217768808441639,0.0010647137663123418,0,2.9103830456733704e-11,3.637978807091713e-11,4.263256414560601e-13,0,0.0,
210202,2,1.1,0.0,OPTIMAL,115770.16775308308,115770.16775308308,0.0,17.539999961853027,7.0,4657,122376,18629,376683,,factorized_exact_extensive_form,93075.73564448934,5290.279387792712,83738.00669200353,0.0,89028.28607979625,4047.449564693088,0.9565144499082697,26741.881673286844,6081.920140967713,12,0.6000248882835688,0.6000248882835688,0.0,3,0.0,1.4551915228366852e-11,0.0,0,1.6007106751203537e-10,
210202,2,1.1,0.0025,OPTIMAL,115844.63958948234,115844.63958948234,0.0,14.949000120162964,7.0,4657,122376,18629,376923,,factorized_exact_extensive_form,93075.73564448934,5290.279387792712,83748.35015699646,73.05813477335047,89111.68767956254,3964.0479649267945,0.957410511585234,26732.95190991983,6082.8483039707735,12,0.4201321265666941,0.4201321265666941,0.0007849321229369834,3,1.4551915228366852e-11,3.637978807091713e-11,2.9398705692074145e-13,0,3.637978807091713e-12,
210202,2,1.1,0.05,OPTIMAL,116330.02776280468,116330.02776280468,0.0,8.700999975204468,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,93075.73564448934,4662.18774884819,80485.90435018761,31.541010471891834,85179.6331095077,7896.102534981634,0.9151647582443886,31150.394653296968,5807.3484480002535,14,0.011681138950525822,0.011681138950525728,0.00033887468364865144,1,1.4551915228366852e-11,3.637978807091713e-12,3.339550858072471e-13,0,3.637978807091713e-12,
210202,2,1.1,0.2,OPTIMAL,116398.6915071914,116398.6915071914,0.0,6.697999954223633,1.0,4657,122376,18629,376923,,factorized_exact_extensive_form,93075.73564448934,4662.18774884819,80485.9694842426,90.62411257399503,85238.7813456648,7836.954298824538,0.9158002432690036,31159.910161526604,5807.350016184077,14,0.008760156504035322,0.008760156504035296,0.0009736599119682654,1,2.9103830456733704e-11,7.275957614183426e-12,4.263256414560601e-14,0,3.637978807091713e-12,
210628,0,0.9,0.0,OPTIMAL,78545.48356445097,78545.48356445097,0.0,0.01900005340576172,1.0,1,1928,489,5631,,factorized_exact_extensive_form,45502.368940917746,2294.3157502494005,43208.05319066837,0.0,45502.36894091778,-3.637978807091713e-11,1.0000000000000009,33043.114623533205,3234.158183255773,11,0.38415449482776626,0.38415449482776626,0.0,4,1.4551915228366852e-11,1.4551915228366852e-11,0.0,0,0.0,
210628,0,0.9,0.0025,OPTIMAL,78671.3991464025,78671.3991464025,0.0,0.056999921798706055,6.0,1,1928,489,5871,,factorized_exact_extensive_form,45502.368940917746,2284.3301570726876,43187.467344141274,30.571439694869515,45502.36894090883,8.913048077374697e-09,0.9999999999998042,33169.03020549367,3219.64963447818,11,0.3248528764311814,0.3248528764310643,0.0006718647931180199,4,0.0,0.0,2.0764190367117408e-10,0,1.3096723705530167e-10,
