case,depot_id,product_id,x0,inventory_upper_bound,rhoUB,ub_zero,compatible,absolute_excess
210628,90016200,BAC-O-6433,0.0,94.64919301695106,0.0,no,yes,0.0
210628,90016200,CON-S-0130,0.0,149.0724790016979,0.0,no,yes,0.0
210628,90016200,SLI---0770,0.0,119.25798320135833,0.0,no,yes,0.0
210628,90016200,SLI---1200,0.0,66.99886696705524,0.0,no,yes,0.0
210628,90016500,BAC---1041,0.0,20.51678388501934,0.0,no,yes,0.0
210628,90016500,BAC-O-4312,0.0,16.413427108015473,0.0,no,yes,0.0
210628,90016500,BAC-O-4325,0.0,24.42474272026112,0.0,no,yes,0.0
210628,90016500,BAC-O-6423,0.0,24.42474272026112,0.0,no,yes,0.0
210628,90016500,BAC-O-6433,0.0,32.566323627014825,0.0,no,yes,0.0
210628,90016500,CON-S-0130,0.0,51.29195971254835,0.0,no,yes,0.0
210628,90016500,SLI---0770,0.0,41.03356777003868,0.0,no,yes,0.0
210628,90016500,SLI---1200,0.0,23.05256616294308,0.0,no,yes,0.0
210628,90016900,BAC---1041,0.0,346.63846153846157,0.0,no,yes,0.0
210628,90016900,BAC-O-4312,0.0,322.0269230769231,0.0,no,yes,0.0
210628,90016900,BAC-O-4325,0.0,518.4000000000001,0.0,no,yes,0.0
210628,90016900,BAC-O-6423,0.0,701.2367502813729,0.0,no,yes,0.0
210628,90016900,BAC-O-6433,0.0,934.9823337084972,0.0,no,yes,0.0
210628,90016900,CON-S-0130,0.0,587.0423076923078,0.0,no,yes,0.0
210628,90016900,SLI---0770,0.0,649.35,0.0,no,yes,0.0
210628,90016900,SLI---1200,0.0,324.4153846153846,0.0,no,yes,0.0
210628,90017100,BAC---1041,0.0,346.63846153846157,0.0,no,yes,0.0
210628,90017100,BAC-O-4312,0.0,304.365709251921,0.0,no,yes,0.0
210628,90017100,BAC-O-4325,0.0,452.9251625772634,0.0,no,yes,0.0
210628,90017100,BAC-O-6423,0.0,452.9251625772634,0.0,no,yes,0.0
210628,90017100,BAC-O-6433,0.0,603.9002167696844,0.0,no,yes,0.0
210628,90017100,CON-S-0130,0.0,587.0423076923078,0.0,no,yes,0.0
210628,90017100,SLI---0770,0.0,649.35,0.0,no,yes,0.0
210628,90017100,SLI---1200,0.0,324.4153846153846,0.0,no,yes,0.0
