case,gamma,beta,lambda_r,comparison_status,objective_difference,first_stage_difference,robust_recourse_difference,maximum_x_difference,fr_min_difference,exact_certification_pass,prb_certification_pass,exact_first_stage_feasible,prb_first_stage_feasible
210628,2,0.9,0.0025,EXACT_SOLUTION_IDENTITY,4.94765117764473e-09,2.029992174357176e-09,2.903107088059187e-09,2.3283064365386963e-09,1.1554091017274004e-12,True,True,True,True
210628,2,0.9,0.05,EXACT_SOLUTION_IDENTITY,5.820766091346741e-10,2.9103830456733704e-11,5.966285243630409e-10,7.16227077646181e-11,7.212674901779792e-12,True,True,True,True
210628,2,0.9,0.2,EXACT_SOLUTION_IDENTITY,2.3865140974521637e-09,8.731149137020111e-11,2.342858351767063e-09,4.574474132823525e-11,3.730349362740526e-14,True,True,True,True
210628,2,1.0,0.0,EXACT_SOLUTION_IDENTITY,0.0,0.0,7.275957614183426e-12,7.428102577478057e-10,1.1078915562734437e-12,True,True,True,True
210628,2,1.0,0.0025,EXACT_SOLUTION_IDENTITY,5.820766091346741e-11,3.637978807091713e-11,8.36735125631094e-11,7.08837433194276e-11,3.7059244561987725e-13,True,True,True,True
210628,2,1.0,0.05,EXACT_SOLUTION_IDENTITY,4.3655745685100555e-11,1.4551915228366852e-11,3.637978807091713e-11,1.2221335055073723e-12,4.887201754399939e-13,True,True,True,True
210628,2,1.0,0.2,EXACT_SOLUTION_IDENTITY,5.820766091346741e-11,7.275957614183426e-12,7.275957614183426e-11,1.0742517986273015e-12,3.8449909922633196e-11,True,True,True,True
210628,2,1.1,0.0,EXACT_SOLUTION_IDENTITY,1.3096723705530167e-10,5.820766091346741e-11,1.9281287677586079e-10,5.146318926563254e-10,4.982347867610315e-12,True,True,True,True
210628,2,1.1,0.0025,EXACT_SOLUTION_IDENTITY,1.0186340659856796e-10,7.275957614183426e-12,9.822542779147625e-11,3.134346115984954e-10,1.0849654508149342e-11,True,True,True,True
210628,2,1.1,0.05,EXACT_SOLUTION_IDENTITY,1.4551915228366852e-11,7.275957614183426e-12,1.4551915228366852e-11,7.815970093361102e-13,8.468559187235769e-12,True,True,True,True
210628,2,1.1,0.2,EXACT_SOLUTION_IDENTITY,0.0,2.1827872842550278e-11,0.0,5.684341886080801e-13,3.05089287166993e-13,True,True,True,True
