case,gamma,beta,lambda_r,scenario_count,fr_min_robust,average_fill_rate_in_worst_service_scenario,worst_region,worst_scenario,total_shortage_in_worst_service_scenario,robust_recourse_from_direct_scenarios
210202,2,1.0,0.05,4657,0.713874373711431,0.9761561978092859,12,1:BAC-O-6433;12:BAC---1041,528.6170945681312,32261.04063060048
210202,2,1.0,0.2,4657,0.7141705058899563,0.9761808754908298,12,1:BAC-O-6433;12:BAC---1041,528.0699903683059,32403.91547599782
210202,2,1.1,0.0,4657,0.7882314575117346,0.9823526214593111,12,1:BAC-O-6433;7:BAC-O-6433,372.9546559707624,26741.881673287004
210202,2,1.1,0.0025,4657,0.7825145862582638,0.9818762155215217,12,1:BAC-O-6433;7:BAC-O-6433,383.02288294401853,26732.951909919833
210202,2,1.1,0.05,4657,0.7289665801399261,0.9774138816783271,12,1:BAC-O-6433;7:BAC-O-6433,477.32857143357006,31150.39465329697
210202,2,1.1,0.2,4657,0.7289665801409535,0.9774138816784128,12,1:BAC-O-6433;7:BAC-O-6433,477.32857143176074,31159.910161526608
210628,0,0.9,0.0,1,0.6221258121767899,0.9224586366085186,12,,509.53412443989305,33043.114623533205
210628,0,0.9,0.0025,1,0.6043780183253911,0.921702629129824,12,,524.0426732144193,33169.03020549354
210628,0,0.9,0.05,1,0.6094151475228711,0.9234535695493659,12,,512.3304900815059,34820.28427042312
210628,0,0.9,0.2,1,0.5493476327981373,0.9163721320552263,12,,583.7608156608347,42205.688168201756
210628,0,1.0,0.0,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.0,0.0025,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.0,0.05,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.0,0.2,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.1,0.0,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.1,0.0025,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.1,0.05,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,0,1.1,0.2,1,0.8071347678369223,0.9839278973197407,12,,196.5000000000024,16311.115589684003
210628,1,0.9,0.0,97,0.34409549335371803,0.8990701230180608,12,8:BAC-O-6433,794.6357993113916,47174.16117160122
210628,1,0.9,0.0025,97,0.34346043275343563,0.8992419293682593,12,8:BAC-O-6433,794.3846075648354,47517.35815330719
210628,1,0.9,0.05,97,0.34219278880903525,0.8993505596970371,12,8:BAC-O-6433,794.8197317095642,51636.11876219112
210628,1,0.9,0.2,97,0.25142675041179874,0.8602767549077526,12,8:BAC-O-6433,997.1425146784397,63165.04227072895
