run_id,case,Gamma,lambda_R,material_reconfiguration,canonical_total_adjustment,RI,changed_pair_count,top_adjustment_share,active_depots,active_depot_ids,positive_inventory_depot_ids,opened_depots,closed_depots,network_change,inventory_cost,reconfiguration_cost,robust_recourse_cost
E7-210428-G0-L0500,210428,0,0.05,False,1.965192453212694e-09,3.324523706272712e-12,0,0.7272940102412987,2,90016100|9624708,90016100|9624708,,,False,74689.19999934557,0.0,659917.8810823205
E7-210428-G0-L2000,210428,0,0.2,False,0.0,0.0,0,0.0,2,90016100|9624708,90016100|9624708,,,False,74689.19999934557,0.0,659917.8810823632
E7-210428-G2-L0025,210428,2,0.0025,False,2.3494175493965486e-08,3.974518793888635e-11,0,0.5177926583494915,2,90016100|9624708,90016100|9624708,,,False,74689.19999934213,3.4437311310578903e-09,717805.4120822934
E7-210428-G2-L0500,210428,2,0.05,False,1.82907911039365e-09,3.0942602355362093e-12,0,0.7070002330821226,2,90016100|9624708,90016100|9624708,,,False,74689.1999993374,8.16683609627944e-09,717805.4120823293
E7-210428-G2-L2000,210428,2,0.2,False,0.0,0.0,0,0.0,2,90016100|9624708,90016100|9624708,,,False,74689.19999934557,0.0,717805.4120823632
E7-210428-G4-L0025,210428,4,0.0025,False,2.3494175493965486e-08,3.974518793888635e-11,0,0.5177926583494915,2,90016100|9624708,90016100|9624708,,,False,74689.19999934213,3.4437311310578903e-09,750588.1100822934
E7-210428-G4-L0500,210428,4,0.05,False,1.8974537496774246e-09,3.20992987839238e-12,0,0.7175036967378365,2,90016100|9624708,90016100|9624708,,,False,74689.19999934148,4.084290239347865e-09,750588.1100823254
E7-210428-G4-L2000,210428,4,0.2,False,0.0,0.0,0,0.0,2,90016100|9624708,90016100|9624708,,,False,74689.19999934557,0.0,750588.1100823631
E7-210611-G0-L0025,210611,0,0.0025,False,1.7612113656362283e-07,3.547521445660391e-10,0,0.37324054251884364,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,63965.24999801094,-5.267776693982424e-08,472310.0557692071
E7-210611-G0-L0500,210611,0,0.05,False,5.820635506914584e-08,1.1724219869937388e-10,0,0.3752148347413754,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,63965.24999822569,-2.071274771697773e-07,472310.05576909246
E7-210611-G0-L2000,210611,0,0.2,False,3.665151027121283e-08,7.382533478938789e-11,0,0.8000005428206493,5,90015700|90016100|90038200|90038300|9624708,90015700|90016100|90038200|90038300|9624708,,,False,63965.249997369545,5.864237664354732e-07,472310.05576997896
