run_id,case,beta_token,beta,Gamma_token,Gamma,reuse_or_new,reuse_source_run,reported_runtime_seconds,reported_runtime_exact_scope,certification_in_reported_timer,service_post_evaluation_in_reported_timer,artifact_writing_in_reported_timer,completion_utc,result_mtime_utc,previous_completion_utc,inter_completion_gap_seconds,reconstructed_wallclock_seconds,wallclock_reconstruction_status,global_scenarios_in_post_evaluation,product_risk_blocks_in_post_evaluation,runtime_scope_classification,timing_anomaly_flag
E6-210330-B120-G0,210330,B120,1.2,G0,0,NEW_SOLVE,,0.08374070003628731,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T19:03:25.562510+00:00,2026-09-14T03:03:25.559510+08:00,2026-09-13T19:03:21.538101+00:00,4.024409,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210330-B120-G2,210330,B120,1.2,G2,2,REUSE,E3-210330-B120,1.0716995000839233,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T19:03:29.993909+00:00,2026-09-14T03:03:29.991900+08:00,2026-09-13T19:03:25.562510+00:00,4.431399,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210330-B120-G4,210330,B120,1.2,G4,4,NEW_SOLVE,,9.008636799640954,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T19:41:52.062084+00:00,2026-09-14T03:41:52.061083+08:00,2026-09-13T19:03:29.993909+00:00,2302.068175,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210323-B080-G0,210323,B080,0.8,G0,0,NEW_SOLVE,,0.058274699840694666,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T19:41:56.084214+00:00,2026-09-14T03:41:56.082214+08:00,2026-09-13T19:41:52.062084+00:00,4.02213,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
E6-210323-B080-G2,210323,B080,0.8,G2,2,REUSE,E3-210323-B080,0.9045131001621485,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T19:42:00.235534+00:00,2026-09-14T03:42:00.233541+08:00,2026-09-13T19:41:56.084214+00:00,4.15132,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210323-B080-G4,210323,B080,0.8,G4,4,NEW_SOLVE,,8.288460599724203,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T20:26:22.820992+00:00,2026-09-14T04:26:22.819067+08:00,2026-09-13T19:42:00.235534+00:00,2662.585458,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,True
E6-210323-B100-G0,210323,B100,1.0,G0,0,REUSE,E4-210323-G0,0.07482429989613593,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T20:26:27.164019+00:00,2026-09-14T04:26:27.161020+08:00,2026-09-13T20:26:22.820992+00:00,4.343027,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210323-B100-G2,210323,B100,1.0,G2,2,REUSE,E3-210323-B100,1.014445299981162,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T20:26:31.679613+00:00,2026-09-14T04:26:31.676582+08:00,2026-09-13T20:26:27.164019+00:00,4.515594,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,4657,632,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210323-B100-G4,210323,B100,1.0,G4,4,REUSE,E4-210323-G4,9.37629899987951,SOURCE_REPORTED_PRB_RUNTIME_COPIED,True,False,False,2026-09-13T20:26:36.056487+00:00,2026-09-14T04:26:36.055479+08:00,2026-09-13T20:26:31.679613+00:00,4.376874,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,3469497,6352,SOURCE_TIMING_SCOPE_INHERITED,False
E6-210323-B120-G0,210323,B120,1.2,G0,0,NEW_SOLVE,,0.10584339965134859,PRB_BUILD_MASTER_THROUGH_EXACT_PRODUCT_RECERTIFICATION,True,False,False,2026-09-13T20:26:40.671483+00:00,2026-09-14T04:26:40.670483+08:00,2026-09-13T20:26:36.056487+00:00,4.614996,,UNAVAILABLE_NO_RUNNER_START_TIMESTAMP,1,8,CORE_PRB_AND_CERTIFICATION_ONLY|POST_EVALUATION_EXCLUDED_FROM_TIMER|RUNNER_WALLCLOCK_NOT_CAPTURED|MULTI_STAGE_TIMING_ACCOUNTING_GAP,False
