scale,seed,method,status,exact_certification,objective,iterations,cuts,core_runtime_seconds,master_runtime_seconds,oracle_runtime_seconds,certification_runtime_seconds,peak_process_tree_memory_gib,iter90,iter95,iter99
XL10,20260922,aggregate_benders_structured_oracle,OPTIMAL,True,3628286.8927373234,9,8,92.95091270000557,0.1432003999943845,49.81868620001478,4.997317600005772,4.860374450683594,2,2,2
XL10,20260922,prb_benders,OPTIMAL,True,3628286.892737324,6,54,64.67459570002393,0.11785929996403866,32.0801295999554,5.914185200002976,4.864341735839844,2,2,2
XL10,20260922,pure_benders,OPTIMAL,True,3628286.892737322,9,8,2.3217841000005137,0.23625470002298243,0.66890519997105,0.9176980999764055,0.06391525268554688,2,2,2
XL10,20260923,aggregate_benders_structured_oracle,OPTIMAL,True,2791624.3689213702,37,36,231.9424906000204,1.140611100156093,201.6501530999667,4.977325799991377,4.864635467529297,2,2,2
XL10,20260923,prb_benders,OPTIMAL,True,2791624.36892137,13,91,101.00011369999265,0.3028083000390325,66.36984810003196,4.999045400007162,4.865081787109375,2,2,2
XL10,20260923,pure_benders,OPTIMAL,True,2791624.368921369,37,36,6.631280500005232,0.9630218000675086,3.244056899944553,1.6616343999339733,0.09404373168945312,2,2,2
XL10,20260924,aggregate_benders_structured_oracle,OPTIMAL,True,2818127.7474047705,12,11,99.90257179999026,0.24978499999269843,70.99885080003878,4.963973800011445,4.862224578857422,2,2,2
XL10,20260924,prb_benders,OPTIMAL,True,2818127.7474046596,6,68,65.41519920001156,0.1318641999969259,34.13075250000111,4.917579299974022,4.864032745361328,2,2,2
XL10,20260924,pure_benders,ERROR,,,,,,,,,0.07106399536132812,,,
XL10,20260925,aggregate_benders_structured_oracle,OPTIMAL,True,2630213.2311380743,13,12,101.32056540000485,0.27808309998363256,72.55643510000664,5.0029256000125315,4.860363006591797,2,2,2
XL10,20260925,prb_benders,OPTIMAL,True,2630213.2311380836,6,66,64.73421359999338,0.14449790000799112,33.456096600042656,5.041511899995385,4.8619537353515625,2,2,2
XL10,20260925,pure_benders,OPTIMAL,True,2630213.2311380804,12,11,1.71449610000127,0.24818319993210025,0.44001010005013086,0.6777176999603398,0.07078170776367188,2,2,2
XL10,20260926,aggregate_benders_structured_oracle,OPTIMAL,True,2715332.325280788,11,10,94.97799539999687,0.19296009998652153,66.05545840004925,4.965930700011086,4.861385345458984,2,2,2
XL10,20260926,prb_benders,OPTIMAL,True,2715332.3252806664,6,65,66.21271740001976,0.11746249999850988,35.15168599993922,4.959046900010435,4.864101409912109,2,2,2
XL10,20260926,pure_benders,OPTIMAL,True,2715332.3252809006,10,9,1.4795081000193022,0.17335240001557395,0.43324810001649894,0.5798887000710238,0.062835693359375,2,2,2
XL10,20260927,aggregate_benders_structured_oracle,OPTIMAL,True,2763461.3350848355,13,12,104.86566999999923,0.35200229997280985,75.23834650000208,4.964642500010086,4.860816955566406,2,2,2
XL10,20260927,prb_benders,OPTIMAL,True,2763461.3350848355,5,61,61.311247700010426,0.09798519997275434,29.523699099954683,4.861646000004839,4.866291046142578,2,2,2
XL10,20260927,pure_benders,OPTIMAL,True,2763461.3350848197,13,12,1.8575377000088338,0.3103595999418758,0.46766799996839836,0.7213923999515828,0.07121658325195312,2,2,3
XL10,20260928,aggregate_benders_structured_oracle,OPTIMAL,True,3197847.8265760494,8,7,76.71851790000801,0.19185649996506982,46.87649860003148,4.971535799995763,4.8622589111328125,2,2,2
XL10,20260928,prb_benders,OPTIMAL,True,3197847.8265760494,5,55,58.530912800022634,0.14196719997562468,27.665062799991574,4.879266799980542,4.865478515625,2,2,2
XL10,20260928,pure_benders,OPTIMAL,True,3197847.8265760494,11,10,1.6213664000097197,0.27516429996467195,0.41747129999566823,0.5983704999380279,0.06473541259765625,2,2,2
XL10,20260929,aggregate_benders_structured_oracle,OPTIMAL,True,3922194.045110547,12,11,96.78224020000198,0.2746810000098776,68.16098350001266,4.957781700009946,4.863471984863281,2,2,2
XL10,20260929,prb_benders,OPTIMAL,True,3922194.045110705,5,63,58.63617119999253,0.14034820001688786,28.00526939998963,4.984023199998774,4.866416931152344,2,2,2
XL10,20260929,pure_benders,OPTIMAL,True,3922194.045110195,12,11,1.7746613000053912,0.25227000011364,0.4647129999648314,0.6853007999889087,0.06549072265625,2,2,2
XL10,20260930,aggregate_benders_structured_oracle,OPTIMAL,True,2868739.2370715477,13,12,101.21064000000479,0.21088249995955266,72.11509299988393,4.99584709998453,4.861095428466797,2,2,2
XL10,20260930,prb_benders,OPTIMAL,True,2868739.2370715947,6,68,64.49030820000917,0.13386160001391545,33.01482289994601,4.914015900023514,4.8645782470703125,2,2,2
XL10,20260930,pure_benders,OPTIMAL,True,2868739.2370716464,13,12,1.7846352999913506,0.21528020006371662,0.4897186999733094,0.7083385000587441,0.06890106201171875,2,2,2
XXL10,20260921,aggregate_benders_structured_oracle,OPTIMAL,True,4754158.590790098,15,14,300.0203470000124,0.48578779996023513,232.3442522000405,13.663811999984318,10.818435668945312,2,2,2
XXL10,20260921,prb_benders,OPTIMAL,True,4754158.5907900985,6,68,168.60894380000536,0.22846369998296723,75.67576939996798,13.464819699991494,10.821491241455078,2,2,2
XXL10,20260921,pure_benders,OPTIMAL,True,4754158.590790098,14,13,3.110230899997987,0.3713168000103906,0.8239145000407007,1.3377831999678165,0.08162689208984375,2,2,2
XXL10,20260922,aggregate_benders_structured_oracle,OPTIMAL,True,4754026.3636161275,13,12,277.2064631000103,0.3844164999900386,209.02565030002734,14.28698499998427,10.8134765625,2,2,2
XXL10,20260922,prb_benders,OPTIMAL,True,4754026.363616005,5,68,157.31968910002615,0.1350285000517033,66.3950398999732,14.306281900004251,10.813945770263672,2,2,2
XXL10,20260922,pure_benders,OPTIMAL,True,4754026.363616101,14,13,3.0908850000123493,0.4528973000997212,0.8248306000314187,1.271987399988575,0.08594131469726562,2,2,2
XXL10,20260923,aggregate_benders_structured_oracle,OPTIMAL,True,4006454.871647452,13,12,267.3737485999882,0.3851200000499375,200.08371379997698,13.503845200000796,10.816123962402344,2,2,2
XXL10,20260923,prb_benders,OPTIMAL,True,4006454.87165392,6,71,169.2996713000175,0.20700649998616427,75.34842809999827,14.357121399982134,10.819747924804688,2,2,2
XXL10,20260923,pure_benders,OPTIMAL,True,4006454.8716474045,16,15,3.3615017000120133,0.48825900006340817,0.8705982000101358,1.4641680999484379,0.08554840087890625,2,2,2
XXL10,20260924,aggregate_benders_structured_oracle,OPTIMAL,True,4635874.958431587,16,15,316.89172879999387,0.5264709999901243,249.0541139000852,14.282326000015019,10.81634521484375,2,2,2
XXL10,20260924,prb_benders,OPTIMAL,True,4635874.958431597,7,73,184.94493920000969,0.24710869992850348,88.70733350003138,13.525015499995789,10.815956115722656,2,2,2
XXL10,20260924,pure_benders,OPTIMAL,True,4635874.958431577,16,15,3.3773382999934256,0.42014349991222844,0.9066640000091866,1.4987513000960462,0.08388137817382812,2,2,2
XXL10,20260925,aggregate_benders_structured_oracle,OPTIMAL,True,4530867.061051564,13,12,281.0252382000035,0.4345263999712188,209.32401479993132,13.791777100006584,10.817413330078125,2,2,2
XXL10,20260925,prb_benders,OPTIMAL,True,4530867.061051549,7,71,184.97453170001972,0.23497369996039197,86.25945199999842,14.045761899993522,10.816158294677734,2,2,2
XXL10,20260925,pure_benders,ERROR,False,4530867.061051665,12,11,2.6245674999954645,0.3136307000531815,0.6973072999971919,1.1522673000581563,0.0848388671875,,,
XXL10,20260926,aggregate_benders_structured_oracle,OPTIMAL,True,3566562.145531111,12,11,262.1210874999815,0.31259099996532314,193.9383300000336,14.224120099999709,10.81582260131836,2,2,2
XXL10,20260926,prb_benders,OPTIMAL,True,3566562.1455311086,6,71,173.38595929997973,0.18114200001582503,79.77377309996518,13.715713200013852,10.81951904296875,2,2,2
XXL10,20260926,pure_benders,OPTIMAL,True,3566562.1455310653,17,16,3.6164430000062566,0.4881941999483388,0.9726257999718655,1.5304749000060838,0.08399200439453125,2,2,2
XXL10,20260927,aggregate_benders_structured_oracle,OPTIMAL,True,4310337.693751876,14,13,295.1964811999933,0.5161534000362735,227.98495740004,13.368392300006235,10.810760498046875,2,2,2
XXL10,20260927,prb_benders,OPTIMAL,True,4310337.693751031,5,67,161.21678700001212,0.17767629996524192,71.27852260001237,13.90820890001487,10.815498352050781,2,2,2
XXL10,20260927,pure_benders,OPTIMAL,True,4310337.69375102,12,11,2.688575000007404,0.3536660000390839,0.692351299978327,1.1583052999922074,0.08614349365234375,2,2,2
XXL10,20260928,aggregate_benders_structured_oracle,OPTIMAL,True,3824461.8484291444,13,12,272.81006909999996,0.4337787998956628,205.02033419997315,14.142103499994846,10.817378997802734,2,2,2
XXL10,20260928,prb_benders,OPTIMAL,True,3824461.8484462025,6,69,169.2329824999906,0.17094400007044896,76.97784310003044,13.503634100023191,10.816017150878906,2,2,2
XXL10,20260928,pure_benders,OPTIMAL,True,3824461.8484462015,13,12,2.809351300005801,0.33192360002431087,0.777635799953714,1.2215462999301963,0.08347702026367188,2,2,2
XXL10,20260929,aggregate_benders_structured_oracle,OPTIMAL,True,4712193.784966617,12,11,259.13796310001635,0.3293166999646928,188.82546650004224,14.255625399993733,10.813121795654297,2,2,2
XXL10,20260929,prb_benders,OPTIMAL,True,4712193.784966616,8,72,192.45258149999427,0.27761340001598,93.44960659995559,13.395183799992083,10.818069458007812,2,2,2
XXL10,20260929,pure_benders,OPTIMAL,True,4712193.784966614,14,13,2.9292837000102736,0.34902149994741194,0.7723059000563808,1.2811153999937233,0.08015060424804688,2,2,2
XXL10,20260930,aggregate_benders_structured_oracle,OPTIMAL,True,4381201.456616802,11,10,244.9908584000077,0.2433611000305973,174.52397839992773,14.279842999996617,10.813926696777344,2,2,2
XXL10,20260930,prb_benders,OPTIMAL,True,4381201.456616803,7,75,185.987942799984,0.22912449997966178,87.87392539996654,14.497756099997787,10.818531036376953,2,2,2
XXL10,20260930,pure_benders,OPTIMAL,True,4381201.456616802,13,12,2.7531801000004634,0.2887977000500541,0.7552495000418276,1.1890362999693025,0.08069229125976562,2,2,2
