row_type,method,fold_a,fold_b,top5_a,top5_b,intersection_size,union_size,jaccard_overlap,average_jaccard,minimum_jaccard,maximum_jaccard
fold_pair,tree_full,210129,210628,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,2,8,0.25,,,
fold_pair,tree_full,210202,210310,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210202,210323,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,3,7,0.42857142857142855,,,
fold_pair,tree_full,210202,210330,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210202,210428,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,2,8,0.25,,,
fold_pair,tree_full,210202,210611,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210202,210628,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210310,210323,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,3,7,0.42857142857142855,,,
fold_pair,tree_full,210310,210330,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,5,5,1.0,,,
fold_pair,tree_full,210310,210428,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,4,6,0.6666666666666666,,,
fold_pair,tree_full,210310,210611,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210310,210628,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210323,210330,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210323,210428,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,3,7,0.42857142857142855,,,
fold_pair,tree_full,210323,210611,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,2,8,0.25,,,
fold_pair,tree_full,210323,210628,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,2,8,0.25,,,
fold_pair,tree_full,210330,210428,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,4,6,0.6666666666666666,,,
fold_pair,tree_full,210330,210611,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210330,210628,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,3,7,0.42857142857142855,,,
fold_pair,tree_full,210428,210611,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,2,8,0.25,,,
fold_pair,tree_full,210428,210628,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,2,8,0.25,,,
fold_pair,tree_full,210611,210628,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,5,5,1.0,,,
fold_summary,tree_full,210129,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|demand_density|maximum_nominal_demand_to_mean_ratio,,,,,0.3520408163265306,0.25,0.42857142857142855
fold_summary,tree_full,210202,ALL_OTHER_FOLDS,Gamma|beta|incumbent_inventory_concentration_across_depots|total_nominal_demand|transport_cost_cv,,,,,0.37755102040816324,0.25,0.42857142857142855
fold_summary,tree_full,210310,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,,,,,0.5442176870748299,0.42857142857142855,1.0
fold_summary,tree_full,210323,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|incumbent_capacity_utilization|incumbent_inventory_concentration_across_depots,,,,,0.37755102040816324,0.25,0.42857142857142855
fold_summary,tree_full,210330,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|transport_cost_cv,,,,,0.5442176870748299,0.42857142857142855,1.0
fold_summary,tree_full,210428,ALL_OTHER_FOLDS,Gamma|beta|capacity_slack_ratio|fixed_cost_cv|inventory_to_nominal_demand_ratio,,,,,0.4200680272108843,0.25,0.6666666666666666
fold_summary,tree_full,210611,ALL_OTHER_FOLDS,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,,,,,0.4336734693877551,0.25,1.0
fold_summary,tree_full,210628,ALL_OTHER_FOLDS,Gamma|beta|incumbent_inventory_concentration_across_products|lambda_R|transport_cost_cv,,,,,0.4336734693877551,0.25,1.0
method_summary,tree_full,ALL_FOLDS,ALL_FOLDS,,,,,,0.43537414965986393,0.25,1.0
fold_pair,gradient_boosting_full,210129,210202,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|incumbent_inventory_concentration_across_depots|inventory_to_nominal_demand_ratio|mean_transport_cost,2,8,0.25,,,
fold_pair,gradient_boosting_full,210129,210310,Gamma|beta|maximum_nominal_demand_to_mean_ratio|nominal_demand_cv|transport_cost_cv,Gamma|beta|capacity_slack_ratio|demand_density|transport_cost_cv,3,7,0.42857142857142855,,,
